,Algorithm,CorrectPercent,MAE,RMSE,TPRate,FPRate,Precision,Recall,Fmeasure,ROCArea,TP,FP,FN,TN
train60-tr,DecisionStump,87.4667,0.2189,0.3308,0.875,0.129,0.875,0.875,0.874,0.873,719,73,115,593
train60-te,DecisionStump,85.3,0.2346,0.3545,0.853,0.148,0.854,0.853,0.853,0.853,447,61,86,406
train60-tr,DecisionTable,89.8667,0.1745,0.2783,0.899,0.106,0.9,0.899,0.898,0.954,742,50,102,606
train60-te,DecisionTable,87.2,0.1985,0.3093,0.872,0.129,0.874,0.872,0.872,0.936,461,47,81,411
train60-tr,IBk,100,0.0007,0.0007,1,0,1,1,1,1,792,0,0,708
train60-te,IBk,81.2,0.1884,0.4333,0.812,0.188,0.812,0.812,0.812,0.812,418,90,98,394
train60-tr,J48-pruned,90.8667,0.1483,0.2723,0.909,0.096,0.911,0.909,0.908,0.943,752,40,97,611
train60-te,J48-pruned,87.7,0.1765,0.314,0.877,0.124,0.878,0.877,0.877,0.912,462,46,77,415
train60-tr,J48-unpruned,90.9333,0.1405,0.2651,0.909,0.096,0.911,0.909,0.909,0.956,753,39,97,611
train60-te,J48-unpruned,87.7,0.1732,0.3136,0.877,0.124,0.878,0.877,0.877,0.92,462,46,77,415
train60-tr,kStar,100,0,0.0004,1,0,1,1,1,1,792,0,0,708
train60-te,kStar,82.5,0.18,0.3972,0.825,0.176,0.825,0.825,0.825,0.898,431,77,98,394
train60-tr,Logistic,89.5333,0.1651,0.2854,0.895,0.108,0.896,0.895,0.895,0.952,730,62,95,613
train60-te,Logistic,87.8,0.1786,0.2989,0.878,0.123,0.878,0.878,0.878,0.942,456,52,70,422
train60-tr,NaiveBayes,87.2,0.1351,0.3398,0.872,0.132,0.873,0.872,0.872,0.937,716,76,116,592
train60-te,NaiveBayes,86.6,0.1377,0.3413,0.866,0.135,0.867,0.866,0.866,0.933,455,53,81,411
train60-tr,OneR,88.6,0.114,0.3376,0.886,0.119,0.888,0.886,0.886,0.883,736,56,115,593
train60-te,OneR,84.7,0.153,0.3912,0.847,0.154,0.848,0.847,0.847,0.794,446,62,91,401
train60-tr,SMO,87.6667,0.1233,0.3512,0.877,0.128,0.878,0.877,0.876,0.874,727,65,120,588
train60-te,SMO,86.8,0.132,0.3633,0.868,0.133,0.87,0.868,0.868,0.867,559,49,83,409
train80-tr,DecisionStump,85.45,0.2392,0.3458,0.855,0.135,0.862,0.855,0.856,0.86,710,90,201,999
train80-te,DecisionStump,91.6,0.2792,0.3395,0.916,,1,0.916,0.956,,458,42,0,0
train80-tr,DecisionTable,88.2,0.1839,0.2942,0.882,0.119,0.884,0.882,0.882,0.944,703,97,139,1061
train80-te,DecisionTable,86.4,0.2316,0.3179,0.864,,1,0.864,0.927,,432,68,0,0
train80-tr,IBk,100,0.0005,0.0005,1,0,1,1,1,1,800,0,0,1200
train80-te,IBk,82,0.1803,0.4241,0.82,,1,0.82,0.901,,410,90,0,0
train80-tr,J48-pruned,90.3,0.1439,0.2682,0.903,0.086,0.908,0.903,0.904,0.956,748,52,142,1058
train80-te,J48-pruned,91.4,0.1833,0.306,0.914,,1,0.914,0.955,,457,43,0,0
train80-tr,J48-unpruned,90.35,0.1404,0.265,0.904,0.086,0.908,0.904,0.904,0.958,748,52,141,1059
train80-te,J48-unpruned,91.4,0.1801,0.3011,0.914,,1,0.914,0.955,,457,43,0,0
train80-tr,kStar,100,0.0005,0.0099,1,0,1,1,1,1,800,0,0,1200
train80-te,kStar,81.6,0.1861,0.3959,0.816,,1,0.816,0.899,,408,92,0,0
train80-tr,Logistic,88.15,0.1786,0.2978,0.882,0.122,0.883,0.882,0.882,0.946,698,102,135,1065
train80-te,Logistic,90.6,0.1968,0.2826,0.906,,1,0.906,0.951,,453,47,0,0
train80-tr,NaiveBayes,85.6,0.1485,0.3569,0.856,0.137,0.862,0.856,0.857,0.933,701,99,189,1011
train80-te,NaiveBayes,92.2,0.0905,0.2615,0.922,,1,0.922,0.959,,461,39,0,0
